ParName   Value   Gradient
log_fdev[2](42)      0.36983 -1.34679e-05
log_foff[1]     -6.27712 -0.000312756
log_fdov[1](1)      1.23658 -5.88314e-06
log_fdov[1](2)      1.60105 -3.68805e-05
log_fdov[1](3)      1.21266 -2.25299e-05
log_fdov[1](4)      1.09359 -3.44484e-05
log_fdov[1](5)      1.96689 -2.57916e-05
log_fdov[1](6)      2.10737 -1.05179e-05
log_fdov[1](7)     0.554415  1.83942e-05
log_fdov[1](8)    0.0133421 -2.07384e-05
log_fdov[1](9)      2.41928 -1.49648e-05
log_fdov[1](10)       1.0251 -2.70775e-05
log_fdov[1](11)      1.32791 -1.36804e-05
log_fdov[1](12)     0.608265  8.17008e-07
log_fdov[1](13)     0.722823 -1.72843e-05
log_fdov[1](14)    -0.454584 -1.29784e-05
log_fdov[1](15)      0.86681  2.03629e-06
log_fdov[1](16)     0.786842  8.38661e-06
log_fdov[1](17)     -2.25002 -3.39835e-06
log_fdov[1](18)    -0.525255 -2.21625e-05
log_fdov[1](19)     -2.42374 -2.61476e-05
log_fdov[1](20)   -0.0516534 -7.42312e-05
log_fdov[1](21)      -2.4566  -4.8179e-05
log_fdov[1](22)     -2.81503 -5.01453e-05
log_fdov[1](23)     -1.69399 -2.60712e-05
log_fdov[1](24)    -0.611991 -1.81041e-05
log_fdov[1](25)     -2.54015 -2.71317e-05
log_fdov[1](26)    -0.521276 -2.23928e-05
log_fdov[1](27)    -0.257417  9.64114e-06
log_fdov[1](28)    -0.106993  2.25901e-05
log_fdov[1](29)     0.112486  3.61831e-06
log_fdov[1](30)      2.15472 -2.69714e-05
log_fdov[1](31)     0.346281 -3.59986e-05
log_fdov[1](32)     0.941917  -2.3485e-05
log_fdov[1](33)       1.5911  3.69789e-07
log_fdov[1](34)     0.821029 -5.87573e-05
log_fdov[1](35)     0.168368  2.82689e-05
log_fdov[1](36)     0.292941  3.37155e-05
log_fdov[1](37)     -1.19207  5.09366e-05
log_fdov[1](38)     0.452061  2.33157e-05
log_fdov[1](39)     -2.80393 -6.18294e-05
log_fdov[1](40)     -3.71912 -1.96894e-07
rec_dev_est(1982)     0.367284 -2.96171e-05
rec_dev_est(1983)    -0.278994   8.5878e-07
rec_dev_est(1984)     0.173061  -1.8437e-05
rec_dev_est(1985)      2.29633 -0.000150209
rec_dev_est(1986)    0.0248052 -7.54502e-06
rec_dev_est(1987)     0.207736  8.42488e-06
rec_dev_est(1988)    -0.508183  5.16985e-06
rec_dev_est(1989)    -0.631882  2.50868e-05
rec_dev_est(1990)     0.392269  2.48081e-05
rec_dev_est(1991)     0.444126 -0.000150001
rec_dev_est(1992)   -0.0515245 -9.50233e-05
rec_dev_est(1993)     0.394224 -0.000222707
rec_dev_est(1994)    -0.304354  -8.7357e-05
rec_dev_est(1995)     -1.10268 -4.55009e-05
rec_dev_est(1996)     -1.48067  2.43827e-05
rec_dev_est(1997)     -1.11319 -1.20791e-05
